index,max_temp
1,24.3
2,26.9
3,23.4
4,15.5
5,16.1
6,16.9
7,18.2
8,17
9,19.5
10,22.8
11,25.2
12,27.3
13,27.9
14,30.9
15,31.2
16,32.1
17,31.2
18,30
19,32.3
20,33.4
21,33.4
22,19.4
23,18.5
24,24.3
25,28.4
26,26.9
27,22.2
28,28
29,24.3
30,24.1
31,20.4
32,26.3
33,24.2
34,26.5
35,21.8
36,26.8
37,25.8
38,28.2
39,29.4
40,24.8
41,18.5
42,21.5
43,20.3
44,27.1
45,29.9
46,21.1
47,21.7
48,20.9
49,21
50,23.1
51,29.5
52,22
53,20.4
54,24.4
55,21.7
56,26.3
57,26.7
58,28.3
59,31.6
60,35
61,33.5
62,34.2
63,35
64,23.4
65,25.3
66,27.5
67,34.1
68,33.9
69,30.3
70,29.9
71,34.2
72,35.8
73,35.7
74,33.8
75,22.8
76,33.8
77,33.2
78,25.1
79,20.4
80,19.6
81,24.7
82,19.9
83,22.5
84,24.4
85,27.8
86,25.7
87,28.8
88,31.3
89,33.2
90,33.9
91,34.9
92,27.8
93,23.8
94,28.8
95,29.6
96,22.6
97,22.8
98,27.4
99,24.2
100,19.9
101,20.9
102,23.1
103,26
104,24.2
105,18.2
106,24.2
107,25.2
108,26.1
109,24.1
110,25.8
111,27.1
112,28.9
113,24.8
114,28.6
115,25.1
116,23.8
117,25.9
118,28.2
119,27.6
120,17.3
121,18.4
122,21.8
123,24.4
124,27.3
125,28.2
126,27.6
127,31.8
128,29.2
129,27.4
130,27.8
131,31.7
132,34.7
133,31.7
134,33.1
135,33.8
136,35.2
137,32.3
138,30.2
139,29.9
140,26.2
141,29.3
142,14.8
143,19.6
144,24.9
145,22.4
146,17.4
147,20.2
148,18.3
149,18.2
150,18.5
151,18.9
152,18.8
153,21.8
154,23.3
155,14.3
156,18.9
157,21.4
158,21.8
159,20.5
160,18.9
161,19.5
162,22.9
163,23.4
164,24.1
165,19.8
166,18
167,20.7
168,19.3
169,21
170,19.7
171,16.1
172,18.7
173,20.6
174,18.9
175,19
176,21.2
177,20.9
178,21.7
179,18.7
180,11.3
181,13.8
182,14.8
183,13.8
184,17.3
185,17.1
186,16.7
187,19
188,16.8
189,17.6
190,18.1
191,21
192,20.9
193,17.4
194,19.2
195,19
196,18.6
197,17.9
198,16
199,12.3
200,14.1
201,18.1
202,17
203,17.4
204,14.7
205,14.8
206,14.5
207,17.5
208,18.5
209,18.1
210,16.8
211,17.5
212,18
213,18.5
214,14
215,15.7
216,14.4
217,15.1
218,15.1
219,16.7
220,15.5
221,14.5
222,16.3
223,13.7
224,15
225,16.4
226,13
227,11.8
228,14.7
229,16.9
230,15.5
231,15.5
232,15.9
233,11.7
234,13.9
235,14
236,12.9
237,13
238,12.6
239,11.8
240,14.3
241,14.8
242,16
243,15.4
244,11.7
245,13.1
246,11.5
247,12
248,14.2
249,14
250,11.1
251,9.5
252,8.8
253,8.7
254,8.4
255,11.1
256,11
257,16.5
258,13.6
259,12.8
260,11.5
261,10.6
262,11.6
263,11
264,11.6
265,11.6
266,11.2
267,12.2
268,12.9
269,11.3
270,9.7
271,10.7
272,12.2
273,12.2
274,14.1
275,9.7
276,11.5
277,12.8
278,12.3
279,10.9
280,14.1
281,11.1
282,12.5
283,9.6
284,7.6
285,9.3
286,10.4
287,12.2
288,10.7
289,14.7
290,14.2
291,11.6
292,12.5
293,13.1
294,14
295,14.1
296,12.2
297,11.6
298,14.4
299,14.2
300,17.3
301,15.1
302,14.7
303,16.2
304,16.3
305,17.2
306,14.8
307,16.7
308,12.1
309,11.3
310,12.4
311,16.1
312,16.7
313,15.5
314,14.7
315,15.2
316,16.6
317,21.6
318,25.5
319,19.4
320,19.7
321,13.2
322,14.1
323,18
324,23.3
325,23.3
326,19.5
327,21.9
328,16.2
329,17.3
330,18.7
331,20.9
332,25.7
333,24.3
334,18.9
335,16.8
336,20.6
337,27.6
338,28.9
339,20.7
340,21.3
341,18
342,16
343,17.9
344,20
345,22
346,22.4
347,23.9
348,26.1
349,21.1
350,19.6
351,21
352,24.1
353,24.7
354,28.5
355,27.4
356,20.6
357,15
358,18
359,20.7
360,25.5
361,26.1
362,30.7
363,28.4
364,19.9
365,26.9
366,30.2
